Sample	Population 1	Population 2	Population 3
1: Well_A01.fcs	4.25	6.25	7.25
2: Well_A02.fcs	4.25	6.25	7.25
3: Well_A03.fcs	4.25	6.25	7.25
4: Well_A04.fcs	4.25	6.25	7.25
5: Well_A05.fcs	4.25	6.25	7.25
6: Well_A06.fcs	4.25	6.25	7.25
7: Well_A07.fcs	4.25	6.25	7.25
8: Well_A08.fcs	4.25	6.25	7.25
9: Well_A09.fcs	4.25	6.25	7.25
10: Well_A10.fcs	4.25	6.25	7.25
11: Well_A11.fcs	4.25	6.25	7.25
12: Well_A12.fcs	4.25	6.25	7.25
13: Well_B01.fcs	4.25	6.25	7.25
14: Well_B02.fcs	4.25	6.25	7.25
15: Well_B03.fcs	4.25	6.25	7.25
16: Well_B04.fcs	4.25	6.25	7.25
17: Well_B05.fcs	4.25	6.25	7.25
18: Well_B06.fcs	4.25	6.25	7.25
96: Well_H12.fcs	10	1.20E+01	1.40E+01
Mean			
StdDev			
