Sample	Population 1	Population 2	Population 3
1: Well_A01.fcs	4.25	6.25	7.25
2: Well_A02.fcs	4.25	6.25	7.25
3: Well_A03.fcs	4.25	6.25	7.25
4: Well_A04.fcs	4.25	6.25	7.25
5: Well_A05.fcs	4.25	6.25	7.25
6: Well_A06.fcs	4.25	6.25	7.25
7: Well_A07.fcs	4.25	6.25	7.25
8: Well_A08.fcs	4.25	6.25	7.25
9: Well_A09.fcs	4.25	6.25	7.25
10: Well_A10.fcs	4.25	6.25	7.25
11: Well_A11.fcs	4.25	6.25	7.25
12: Well_A12.fcs	4.25	6.25	7.25
13: Well_B01.fcs	4.25	6.25	7.25
14: Well_B02.fcs	4.25	6.25	7.25
15: Well_B03.fcs	4.25	6.25	7.25
16: Well_B04.fcs	4.25	6.25	7.25
17: Well_B05.fcs	4.25	6.25	7.25
18: Well_B06.fcs	4.25	6.25	7.25
19: Well_B07.fcs	1	1	1
20: Well_B08.fcs	1	1	1
21: Well_B09.fcs	1	1	1
22: Well_B10.fcs	1	1	1
23: Well_B11.fcs	1	1	1
24: Well_B12.fcs	1	1	1
25: Well_C01.fcs	1	1	1
26: Well_C02.fcs	1	1	1
27: Well_C03.fcs	1	1	1
28: Well_C04.fcs	1	1	1
29: Well_C05.fcs	1	1	1
30: Well_C06.fcs	1	1	1
31: Well_C07.fcs	1	1	1
32: Well_C08.fcs	1	1	1
33: Well_C09.fcs	1	1	1
34: Well_C10.fcs	1	1	1
35: Well_C11.fcs	1	1	1
36: Well_C12.fcs	1	1	1
37: Well_D01.fcs	1	1	1
38: Well_D02.fcs	1	1	1
39: Well_D03.fcs	1	1	1
40: Well_D04.fcs	1	1	1
41: Well_D05.fcs	1	1	1
42: Well_D06.fcs	1	1	1
43: Well_D07.fcs	1	1	1
44: Well_D08.fcs	1	1	1
45: Well_D09.fcs	1	1	1
46: Well_D10.fcs	1	1	1
47: Well_D11.fcs	1	1	1
48: Well_D12.fcs	1	1	1
49: Well_E01.fcs	1	1	1
50: Well_E02.fcs	1	1	1
51: Well_E03.fcs	1	1	1
52: Well_E04.fcs	1	1	1
53: Well_E05.fcs	1	1	1
54: Well_E06.fcs	1	1	1
55: Well_E07.fcs	1	1	1
56: Well_E08.fcs	1	1	1
57: Well_E09.fcs	1	1	1
58: Well_E10.fcs	1	1	1
59: Well_E11.fcs	1	1	1
60: Well_E12.fcs	1	1	1
61: Well_F01.fcs	1	1	1
62: Well_F02.fcs	1	1	1
63: Well_F03.fcs	1	1	1
64: Well_F04.fcs	1	1	1
65: Well_F05.fcs	1	1	1
66: Well_F06.fcs	1	1	1
67: Well_F07.fcs	1	1	1
68: Well_F08.fcs	1	1	1
69: Well_F09.fcs	1	1	1
70: Well_F10.fcs	1	1	1
71: Well_F11.fcs	1	1	1
72: Well_F12.fcs	1	1	1
73: Well_G01.fcs	1	1	1
74: Well_G02.fcs	1	1	1
75: Well_G03.fcs	1	1	1
76: Well_G04.fcs	1	1	1
77: Well_G05.fcs	1	1	1
78: Well_G06.fcs	1	1	1
79: Well_G07.fcs	1	1	1
80: Well_G08.fcs	1	1	1
81: Well_G09.fcs	1	1	1
82: Well_G10.fcs	1	1	1
83: Well_G11.fcs	1	1	1
84: Well_G12.fcs	1	1	1
85: Well_H01.fcs	1	1	1
86: Well_H02.fcs	1	1	1
87: Well_H03.fcs	1	1	1
88: Well_H04.fcs	1	1	1
89: Well_H05.fcs	1	1	1
90: Well_H06.fcs	1	1	1
91: Well_H07.fcs	1	1	1
92: Well_H08.fcs	1	1	1
93: Well_H09.fcs	1	1	1
94: Well_H10.fcs	1	1	1
95: Well_H11.fcs	1	1	1
96: Well_H12.fcs	10	1.20E+01	1.40E+01
Mean			
StdDev			
