Sample	Population 1	Population 2	Population 3
1: Specimen_001_A1_A01.fcs	4.25	6.25	7.25
2: Specimen_001_A2_A02.fcs	4.25	6.25	7.25
3: Specimen_001_A3_A03.fcs	4.25	6.25	7.25
4: Specimen_001_A4_A04.fcs	4.25	6.25	7.25
5: Specimen_001_A5_A05.fcs	4.25	6.25	7.25
6: Specimen_001_A6_A06.fcs	4.25	6.25	7.25
7: Specimen_001_A7_A07.fcs	4.25	6.25	7.25
8: Specimen_001_A8_A08.fcs	4.25	6.25	7.25
9: Specimen_001_A9_A09.fcs	4.25	6.25	7.25
10: Specimen_001_A10_A10.fcs	4.25	6.25	7.25
11: Specimen_001_A11_A11.fcs	4.25	6.25	7.25
12: Specimen_001_A12_A12.fcs	4.25	6.25	7.25
13: Specimen_001_B1_B01.fcs	4.25	6.25	7.25
14: Specimen_001_B2_B02.fcs	4.25	6.25	7.25
15: Specimen_001_B3_B03.fcs	4.25	6.25	7.25
16: Specimen_001_B4_B04.fcs	4.25	6.25	7.25
17: Specimen_001_B5_B05.fcs	4.25	6.25	7.25
18: Specimen_001_B6_B06.fcs	4.25	6.25	7.25
19: Specimen_001_B7_B07.fcs	4.25	6.25	7.25
20: Specimen_001_B8_B08.fcs	4.25	6.25	7.25
21: Specimen_001_B9_B09.fcs	4.25	6.25	7.25
22: Specimen_001_B10_B10.fcs	4.25	6.25	7.25
23: Specimen_001_B11_B11.fcs	4.25	6.25	7.25
24: Specimen_001_B12_B12.fcs	4.25	6.25	7.25
25: Specimen_001_C1_C01.fcs	4.25	6.25	7.25
26: Specimen_001_C2_C02.fcs	4.25	6.25	7.25
27: Specimen_001_C3_C03.fcs	4.25	6.25	7.25
28: Specimen_001_C4_C04.fcs	4.25	6.25	7.25
29: Specimen_001_C5_C05.fcs	4.25	6.25	7.25
30: Specimen_001_C6_C06.fcs	4.25	6.25	7.25
31: Specimen_001_C7_C07.fcs	4.25	6.25	7.25
32: Specimen_001_C8_C08.fcs	4.25	6.25	7.25
33: Specimen_001_C9_C09.fcs	4.25	6.25	7.25
34: Specimen_001_C10_C10.fcs	4.25	6.25	7.25
35: Specimen_001_C11_C11.fcs	4.25	6.25	7.25
36: Specimen_001_C12_C12.fcs	4.25	6.25	7.25
37: Specimen_001_D1_D01.fcs	4.25	6.25	7.25
38: Specimen_001_D2_D02.fcs	4.25	6.25	7.25
39: Specimen_001_D3_D03.fcs	4.25	6.25	7.25
40: Specimen_001_D4_D04.fcs	4.25	6.25	7.25
41: Specimen_001_D5_D05.fcs	4.25	6.25	7.25
42: Specimen_001_D6_D06.fcs	4.25	6.25	7.25
43: Specimen_001_D7_D07.fcs	4.25	6.25	7.25
44: Specimen_001_D8_D08.fcs	4.25	6.25	7.25
45: Specimen_001_D9_D09.fcs	4.25	6.25	7.25
46: Specimen_001_D10_D10.fcs	4.25	6.25	7.25
47: Specimen_001_D11_D11.fcs	4.25	6.25	7.25
48: Specimen_001_D12_D12.fcs	4.25	6.25	7.25
49: Specimen_002_E1_E01.fcs	4.25	6.25	7.25
50: Specimen_002_E2_E02.fcs	4.25	6.25	7.25
51: Specimen_002_E3_E03.fcs	4.25	6.25	7.25
52: Specimen_002_E4_E04.fcs	4.25	6.25	7.25
53: Specimen_002_E5_E05.fcs	4.25	6.25	7.25
54: Specimen_002_E6_E06.fcs	4.25	6.25	7.25
55: Specimen_002_E7_E07.fcs	4.25	6.25	7.25
56: Specimen_002_E8_E08.fcs	4.25	6.25	7.25
57: Specimen_002_E9_E09.fcs	4.25	6.25	7.25
58: Specimen_002_E10_E10.fcs	4.25	6.25	7.25
59: Specimen_002_E11_E11.fcs	4.25	6.25	7.25
60: Specimen_002_E12_E12.fcs	4.25	6.25	7.25
61: Specimen_002_F1_F01.fcs	4.25	6.25	7.25
62: Specimen_002_F2_F02.fcs	4.25	6.25	7.25
63: Specimen_002_F3_F03.fcs	4.25	6.25	7.25
64: Specimen_002_F4_F04.fcs	4.25	6.25	7.25
65: Specimen_002_F5_F05.fcs	4.25	6.25	7.25
66: Specimen_002_F6_F06.fcs	4.25	6.25	7.25
67: Specimen_002_F7_F07.fcs	4.25	6.25	7.25
68: Specimen_002_F8_F08.fcs	4.25	6.25	7.25
69: Specimen_002_F9_F09.fcs	4.25	6.25	7.25
70: Specimen_002_F10_F10.fcs	4.25	6.25	7.25
71: Specimen_002_F11_F11.fcs	4.25	6.25	7.25
72: Specimen_002_F12_F12.fcs	4.25	6.25	7.25
73: Specimen_002_G1_G01.fcs	4.25	6.25	7.25
74: Specimen_002_G2_G02.fcs	4.25	6.25	7.25
75: Specimen_002_G3_G03.fcs	4.25	6.25	7.25
76: Specimen_002_G4_G04.fcs	4.25	6.25	7.25
77: Specimen_002_G5_G05.fcs	4.25	6.25	7.25
78: Specimen_002_G6_G06.fcs	4.25	6.25	7.25
79: Specimen_002_G7_G07.fcs	4.25	6.25	7.25
80: Specimen_002_G8_G08.fcs	4.25	6.25	7.25
81: Specimen_002_G9_G09.fcs	4.25	6.25	7.25
82: Specimen_002_G10_G10.fcs	4.25	6.25	7.25
83: Specimen_002_G11_G11.fcs	4.25	6.25	7.25
84: Specimen_002_G12_G12.fcs	4.25	6.25	7.25
85: Specimen_002_H1_H01.fcs	4.25	6.25	7.25
86: Specimen_002_H2_H02.fcs	4.25	6.25	7.25
87: Specimen_002_H3_H03.fcs	4.25	6.25	7.25
88: Specimen_002_H4_H04.fcs	4.25	6.25	7.25
89: Specimen_002_H5_H05.fcs	4.25	6.25	7.25
90: Specimen_002_H6_H06.fcs	4.25	6.25	7.25
91: Specimen_002_H7_H07.fcs	4.25	6.25	7.25
92: Specimen_002_H8_H08.fcs	4.25	6.25	7.25
93: Specimen_002_H9_H09.fcs	4.25	6.25	7.25
94: Specimen_002_H10_H10.fcs	4.25	6.25	7.25
95: Specimen_002_H11_H11.fcs	4.25	6.25	7.25
96: Specimen_002_H12_H12.fcs	10	1.20E+01	1.40E+01
Mean			
StdDev			
