Sample	Population 1	Population 2	Population 3
1: Specimen_001_A1_A01.fcs	4.25	6.25	7.25
2: Specimen_001_A2_A02.fcs	4.25	6.25	7.25
3: Specimen_001_A3_A03.fcs	4.25	6.25	7.25
4: Specimen_001_A4_A04.fcs	4.25	6.25	7.25
5: Specimen_001_A5_A05.fcs	4.25	6.25	7.25
6: Specimen_001_A6_A06.fcs	4.25	6.25	7.25
7: Specimen_001_A7_A07.fcs	4.25	6.25	7.25
8: Specimen_001_A8_A08.fcs	4.25	6.25	7.25
9: Specimen_001_A9_A09.fcs	4.25	6.25	7.25
10: Specimen_001_A10_A10.fcs	4.25	6.25	7.25
11: Specimen_001_A11_A11.fcs	4.25	6.25	7.25
12: Specimen_001_A12_A12.fcs	4.25	6.25	7.25
13: Specimen_001_B1_B01.fcs	4.25	6.25	7.25
14: Specimen_001_B2_B02.fcs	4.25	6.25	7.25
15: Specimen_001_B3_B03.fcs	4.25	6.25	7.25
16: Specimen_001_B4_B04.fcs	4.25	6.25	7.25
17: Specimen_001_B5_B05.fcs	4.25	6.25	7.25
18: Specimen_001_B6_B06.fcs	4.25	6.25	7.25
96: Specimen_002_H12_H12.fcs	10	1.20E+01	1.40E+01
Mean			
StdDev			
