Sample	Population 1	Population 2	Population 3
1: 01A01	4.25	6.25	7.25
2: 01A02	4.25	6.25	7.25
3: 01A03	4.25	6.25	7.25
4: 01A04	4.25	6.25	7.25
5: 01A05	4.25	6.25	7.25
6: 01A06	4.25	6.25	7.25
7: 01A07	4.25	6.25	7.25
8: 01A08	4.25	6.25	7.25
9: 01A09	4.25	6.25	7.25
10: 01A10	4.25	6.25	7.25
11: 01A11	4.25	6.25	7.25
12: 01A12	4.25	6.25	7.25
13: 01B01	4.25	6.25	7.25
14: 01B02	4.25	6.25	7.25
15: 01B03	4.25	6.25	7.25
16: 01B04	4.25	6.25	7.25
17: 01B05	4.25	6.25	7.25
18: 01B06	4.25	6.25	7.25
19: 01B07	4.25	6.25	7.25
20: 01B08	4.25	6.25	7.25
21: 01B09	4.25	6.25	7.25
22: 01B10	4.25	6.25	7.25
23: 01B11	4.25	6.25	7.25
24: 01B12	4.25	6.25	7.25
25: 01C01	4.25	6.25	7.25
26: 01C02	4.25	6.25	7.25
27: 01C03	4.25	6.25	7.25
28: 01C04	4.25	6.25	7.25
29: 01C05	4.25	6.25	7.25
30: 01C06	4.25	6.25	7.25
31: 01C07	4.25	6.25	7.25
32: 01C08	4.25	6.25	7.25
33: 01C09	4.25	6.25	7.25
34: 01C10	4.25	6.25	7.25
35: 01C11	4.25	6.25	7.25
36: 01C12	4.25	6.25	7.25
37: 01D01	4.25	6.25	7.25
38: 01D02	4.25	6.25	7.25
39: 01D03	4.25	6.25	7.25
40: 01D04	4.25	6.25	7.25
41: 01D05	4.25	6.25	7.25
42: 01D06	4.25	6.25	7.25
43: 01D07	4.25	6.25	7.25
44: 01D08	4.25	6.25	7.25
45: 01D09	4.25	6.25	7.25
46: 01D10	4.25	6.25	7.25
47: 01D11	4.25	6.25	7.25
48: 01D12	4.25	6.25	7.25
49: 01E01	4.25	6.25	7.25
50: 01E02	4.25	6.25	7.25
51: 01E03	4.25	6.25	7.25
52: 01E04	4.25	6.25	7.25
53: 01E05	4.25	6.25	7.25
54: 01E06	4.25	6.25	7.25
55: 01E07	4.25	6.25	7.25
56: 01E08	4.25	6.25	7.25
57: 01E09	4.25	6.25	7.25
58: 01E10	4.25	6.25	7.25
59: 01E11	4.25	6.25	7.25
60: 01E12	4.25	6.25	7.25
61: 01F01	4.25	6.25	7.25
62: 01F02	4.25	6.25	7.25
63: 01F03	4.25	6.25	7.25
64: 01F04	4.25	6.25	7.25
65: 01F05	4.25	6.25	7.25
66: 01F06	4.25	6.25	7.25
67: 01F07	4.25	6.25	7.25
68: 01F08	4.25	6.25	7.25
69: 01F09	4.25	6.25	7.25
70: 01F10	4.25	6.25	7.25
71: 01F11	4.25	6.25	7.25
72: 01F12	4.25	6.25	7.25
73: 01G01	4.25	6.25	7.25
74: 01G02	4.25	6.25	7.25
75: 01G03	4.25	6.25	7.25
76: 01G04	4.25	6.25	7.25
77: 01G05	4.25	6.25	7.25
78: 01G06	4.25	6.25	7.25
79: 01G07	4.25	6.25	7.25
80: 01G08	4.25	6.25	7.25
81: 01G09	4.25	6.25	7.25
82: 01G10	4.25	6.25	7.25
83: 01G11	4.25	6.25	7.25
84: 01G12	4.25	6.25	7.25
85: 01H01	4.25	6.25	7.25
86: 01H02	4.25	6.25	7.25
87: 01H03	4.25	6.25	7.25
88: 01H04	4.25	6.25	7.25
89: 01H05	4.25	6.25	7.25
90: 01H06	4.25	6.25	7.25
91: 01H07	4.25	6.25	7.25
92: 01H08	4.25	6.25	7.25
93: 01H09	4.25	6.25	7.25
94: 01H10	4.25	6.25	7.25
95: 01H11	4.25	6.25	7.25
96: 01H12	10	1.20E+01	1.40E+01
Mean			
StdDev			
