Sample	Population 1	Population 2	Population 3
1: 01A01	4.25	6.25	7.25
2: 01A02	4.25	6.25	7.25
3: 01A03	4.25	6.25	7.25
4: 01A04	4.25	6.25	7.25
5: 01A05	4.25	6.25	7.25
6: 01A06	4.25	6.25	7.25
7: 01A07	4.25	6.25	7.25
8: 01A08	4.25	6.25	7.25
9: 01A09	4.25	6.25	7.25
10: 01A10	4.25	6.25	7.25
11: 01A11	4.25	6.25	7.25
12: 01A12	4.25	6.25	7.25
13: 01B01	4.25	6.25	7.25
14: 01B02	4.25	6.25	7.25
15: 01B03	4.25	6.25	7.25
16: 01B04	4.25	6.25	7.25
17: 01B05	4.25	6.25	7.25
18: 01B06	4.25	6.25	*
96: 01H12	10	1.20E+01	1.40E+01
Mean			
StdDev			
