Sample	Population 1	Population 2	Population 3
1: 01A01	4.25	6.25	7.25
2: 01A02	4.25	6.25	7.25
3: 01A03	4.25	6.25	7.25
4: 01A04	4.25	6.25	7.25
5: 01A05	4.25	6.25	7.25
6: 01A06	4.25	6.25	7.25
7: 01A07	4.25	6.25	7.25
8: 01A08	4.25	6.25	7.25
9: 01A09	4.25	6.25	7.25
10: 01A10	4.25	6.25	7.25
11: 01A11	4.25	6.25	7.25
12: 01A12	4.25	6.25	7.25
13: 01B01	4.25	6.25	7.25
14: 01B02	4.25	6.25	7.25
15: 01B03	4.25	6.25	7.25
16: 01B04	4.25	6.25	7.25
17: 01B05	4.25	6.25	7.25
18: 01B06	4.25	6.25	7.25
19: 01B07	1	1	1
20: 01B08	1	1	1
21: 01B09	1	1	1
22: 01B10	1	1	1
23: 01B11	1	1	1
24: 01B12	1	1	1
25: 01C01	1	1	1
26: 01C02	1	1	1
27: 01C03	1	1	1
28: 01C04	1	1	1
29: 01C05	1	1	1
30: 01C06	1	1	1
31: 01C07	1	1	1
32: 01C08	1	1	1
33: 01C09	1	1	1
34: 01C10	1	1	1
35: 01C11	1	1	1
36: 01C12	1	1	1
37: 01D01	1	1	1
38: 01D02	1	1	1
39: 01D03	1	1	1
40: 01D04	1	1	1
41: 01D05	1	1	1
42: 01D06	1	1	1
43: 01D07	1	1	1
44: 01D08	1	1	1
45: 01D09	1	1	1
46: 01D10	1	1	1
47: 01D11	1	1	1
48: 01D12	1	1	1
49: 01E01	1	1	1
50: 01E02	1	1	1
51: 01E03	1	1	1
52: 01E04	1	1	1
53: 01E05	1	1	1
54: 01E06	1	1	1
55: 01E07	1	1	1
56: 01E08	1	1	1
57: 01E09	1	1	1
58: 01E10	1	1	1
59: 01E11	1	1	1
60: 01E12	1	1	1
61: 01F01	1	1	1
62: 01F02	1	1	1
63: 01F03	1	1	1
64: 01F04	1	1	1
65: 01F05	1	1	1
66: 01F06	1	1	1
67: 01F07	1	1	1
68: 01F08	1	1	1
69: 01F09	1	1	1
70: 01F10	1	1	1
71: 01F11	1	1	1
72: 01F12	1	1	1
73: 01G01	1	1	1
74: 01G02	1	1	1
75: 01G03	1	1	1
76: 01G04	1	1	1
77: 01G05	1	1	1
78: 01G06	1	1	1
79: 01G07	1	1	1
80: 01G08	1	1	1
81: 01G09	1	1	1
82: 01G10	1	1	1
83: 01G11	1	1	1
84: 01G12	1	1	1
85: 01H01	1	1	1
86: 01H02	1	1	1
87: 01H03	1	1	1
88: 01H04	1	1	1
89: 01H05	1	1	1
90: 01H06	1	1	1
91: 01H07	1	1	1
92: 01H08	1	1	1
93: 01H09	1	1	1
94: 01H10	1	1	1
95: 01H11	1	1	1
96: 01H12	10	1.20E+01	1.40E+01
Mean			
StdDev			
