Sample	CHOk1	CHO HuPTHR	CHO MSPTHR
1: Specimen_001_A1_A01.fcs	5.69	13.7	14.2
2: Specimen_001_A2_A02.fcs	5.21	12.4	26.7
3: Specimen_001_A3_A03.fcs	7.52	2988	7844
4: Specimen_001_A4_A04.fcs	6.2	11.9	20.3
5: Specimen_001_A5_A05.fcs	7.01	8.61	12.7
6: Specimen_001_A6_A06.fcs	6.24	9.19	11
7: Specimen_001_A7_A07.fcs	10.3	422	647
8: Specimen_001_A8_A08.fcs	7.47	1006	2087
9: Specimen_001_A9_A09.fcs	9.72	1314	2537
10: Specimen_001_A10_A10.fcs	6.83	3403	8035
11: Specimen_001_A11_A11.fcs	6.51	528	10.1
12: Specimen_001_A12_A12.fcs	9.23	1238	105
13: Specimen_001_B1_B01.fcs	6.32	178	124
14: Specimen_001_B2_B02.fcs	7.22	115	87.1
15: Specimen_001_B3_B03.fcs	10.1	3849	27.9
16: Specimen_001_B4_B04.fcs	7.46	3180	10.8
17: Specimen_001_B5_B05.fcs	5.99	8.33	8.02
18: Specimen_001_B6_B06.fcs	6.98	8.54	2.3
19: Specimen_001_H12_H12.fcs	4.56	1262	3338
Mean	110	7865	3090
StdDev	24.6	13057	5733
