Included	Cycle	Curve	Y-Axis (stability_early)	X-Axis (Cycle number)	Ligand	Curve Marker	Sample
Yes	172	Fc1:1 - 3	-4.3	172	Ag124-Fc		426_B1_1_01_A01
Yes	172	Fc1:2 - 3	-4.4	172	Ag124 IgV		426_B1_1_01_A01
Yes	172	Fc2:1 - 3	31.6	172	Ag124-Fc		426_B1_1_01_B01
Yes	172	Fc2:2 - 3	76.7	172	Ag124 IgV		426_B1_1_01_B01
Yes	172	Fc3:1 - 3	156.3	172	Ag124-Fc		426_B1_1_01_C01
Yes	172	Fc3:2 - 3	15.9	172	Ag124 IgV		426_B1_1_01_C01
Yes	172	Fc4:1 - 3	3.3	172	Ag124-Fc		426_B1_1_01_D01
Yes	172	Fc4:2 - 3	17.8	172	Ag124 IgV		426_B1_1_01_D01
Yes	173	Fc1:1 - 3	-3.1	173	Ag124-Fc		426_B1_1_01_A02
Yes	173	Fc1:2 - 3	-3.2	173	Ag124 IgV		426_B1_1_01_A02
Yes	173	Fc2:1 - 3	361.9	173	Ag124-Fc		426_B1_1_01_B02
Yes	173	Fc2:2 - 3	65.9	173	Ag124 IgV		426_B1_1_01_B02
Yes	173	Fc3:1 - 3	883.3	173	Ag124-Fc		426_B1_1_01_C02
Yes	173	Fc3:2 - 3	47.1	173	Ag124 IgV		426_B1_1_01_C02
Yes	173	Fc4:1 - 3	22.3	173	Ag124-Fc		426_B1_1_01_D02
Yes	173	Fc4:2 - 3	59.8	173	Ag124 IgV		426_B1_1_01_D02
Yes	174	Fc1:1 - 3	41.6	174	Ag124-Fc		426_B1_1_01_A03
Yes	174	Fc1:2 - 3	48.8	174	Ag124 IgV		426_B1_1_01_A03
Yes	174	Fc2:1 - 3	248.6	174	Ag124-Fc		426_B1_1_01_B03
Yes	174	Fc2:2 - 3	25.2	174	Ag124 IgV		426_B1_1_01_B03
Yes	174	Fc3:1 - 3	414.0	174	Ag124-Fc		426_B1_1_01_C03
Yes	174	Fc3:2 - 3	54.1	174	Ag124 IgV		426_B1_1_01_C03
Yes	174	Fc4:1 - 3	678.1	174	Ag124-Fc		426_B1_1_01_D03
Yes	174	Fc4:2 - 3	39.4	174	Ag124 IgV		426_B1_1_01_D03
Yes	175	Fc1:1 - 3	560.5	175	Ag124-Fc		426_B1_1_01_A04
Yes	175	Fc1:2 - 3	67.5	175	Ag124 IgV		426_B1_1_01_A04
Yes	175	Fc2:1 - 3	377.9	175	Ag124-Fc		426_B1_1_01_B04
Yes	175	Fc2:2 - 3	75.1	175	Ag124 IgV		426_B1_1_01_B04
Yes	175	Fc3:1 - 3	421.8	175	Ag124-Fc		426_B1_1_01_C04
Yes	175	Fc3:2 - 3	52.6	175	Ag124 IgV		426_B1_1_01_C04
Yes	175	Fc4:1 - 3	5.9	175	Ag124-Fc		426_B1_1_01_D04
Yes	175	Fc4:2 - 3	27.4	175	Ag124 IgV		426_B1_1_01_D04
Yes	176	Fc1:1 - 3	17.1	176	Ag124-Fc		426_B1_1_01_A05
Yes	176	Fc1:2 - 3	47.1	176	Ag124 IgV		426_B1_1_01_A05
Yes	176	Fc2:1 - 3	213.0	176	Ag124-Fc		426_B1_1_01_B05
Yes	176	Fc2:2 - 3	35.2	176	Ag124 IgV		426_B1_1_01_B05
Yes	176	Fc3:1 - 3	63.9	176	Ag124-Fc		426_B1_1_01_C05
Yes	176	Fc3:2 - 3	30.9	176	Ag124 IgV		426_B1_1_01_C05
Yes	176	Fc4:1 - 3	-0.2	176	Ag124-Fc		426_B1_1_01_D05
Yes	176	Fc4:2 - 3	15.1	176	Ag124 IgV		426_B1_1_01_D05
Yes	177	Fc1:1 - 3	-3.3	177	Ag124-Fc		426_B1_1_01_A06
Yes	177	Fc1:2 - 3	6.8	177	Ag124 IgV		426_B1_1_01_A06
Yes	177	Fc2:1 - 3	-5.5	177	Ag124-Fc		426_B1_1_01_B06
Yes	177	Fc2:2 - 3	10.2	177	Ag124 IgV		426_B1_1_01_B06
Yes	177	Fc3:1 - 3	1.3	177	Ag124-Fc		426_B1_1_01_C06
Yes	177	Fc3:2 - 3	17.9	177	Ag124 IgV		426_B1_1_01_C06
Yes	177	Fc4:1 - 3	3.3	177	Ag124-Fc		426_B1_1_01_D06
Yes	177	Fc4:2 - 3	20.4	177	Ag124 IgV		426_B1_1_01_D06
