Plate:	A3792.Ag25-01	1.3	PlateFormat	Endpoint	Absorbance	Raw	FALSE	1						1	450	1	12	96	1	8	None
	Temperature(C)	1	2	3	4	5	6	7	8	9	10	11	12								
	0	0.0468	0.0438	0.0449	0.0439	0.0439	0.0467	0.0439	0.0433	0.0446	0.0445	0.0441	0.0457								
		0.0449	0.044	0.0455	0.0442	0.0522	0.045	0.0442	0.0441	0.0539	0.0459	0.0463	0.0446								
		0.0452	0.0459	0.045	0.0464	0.0536	0.0452	0.0445	0.0447	0.0532	0.0455	0.0446	0.0458								
		0.0454	0.0443	0.0444	0.0442	0.0442	0.0448	0.0442	0.0441	0.0536	0.0442	0.0451	0.0463								
		0.0437	0.0432	0.0449	0.0432	0.0449	0.0426	0.0442	0.0436	0.054	0.0437	0.0446	0.0444								
		0.0472	0.0477	0.0443	0.0439	0.0461	0.061	0.0442	0.0443	0.0536	0.0433	0.0446	0.047								
		0.0464	0.0454	0.0449	0.0441	0.053	0.0457	0.0431	0.0444	0.0476	0.0437	0.0451	0.0446								
		0.0477	0.0465	0.0458	0.0462	0.0537	0.0454	0.0458	0.0573	0.0504	0.0453	0.0477	0.0447								
																					
~End																					
Plate:	A3792.Ag25-02	1.3	PlateFormat	Endpoint	Absorbance	Raw	FALSE	1						1	450	1	12	96	1	8	None
	Temperature(C)	1	2	3	4	5	6	7	8	9	10	11	12								
	0	0.0439	0.0448	0.048	0.0448	0.0441	0.0457	0.0531	0.0445	0.0461	0.0446	0.0447	0.0454								
		0.0444	0.0468	0.0451	0.0532	0.0455	0.0449	0.0456	0.0466	0.0455	0.0446	0.0447	0.0453								
		0.0486	0.0457	0.0451	0.0514	0.0454	0.0446	0.0445	0.0444	0.0513	0.0444	0.0456	0.0538								
		0.0447	0.0466	0.0442	0.0528	0.0446	0.0447	0.0438	0.0475	0.0447	0.0446	0.0627	0.0539								
		0.0457	0.0432	0.0436	0.05	0.0437	0.0441	0.0444	0.0461	0.0455	0.049	0.0444	0.0451								
		0.0442	0.0444	0.0456	0.0485	0.0449	0.0452	0.0445	0.0415	0.0448	0.045	0.0449	0.0463								
		0.046	0.0449	0.044	0.0516	0.0445	0.0443	0.0435	0.0443	0.0439	0.0437	0.0437	0.0444								
		0.0475	0.0453	0.0456	0.0466	0.0451	0.047	0.0453	0.0448	0.0453	0.0478	0.0437	0.0519								
																					
~End																					
Plate:	A3793.Ag25-01	1.3	PlateFormat	Endpoint	Absorbance	Raw	FALSE	1						1	450	1	12	96	1	8	None
	Temperature(C)	1	2	3	4	5	6	7	8	9	10	11	12								
	0	0.044	0.0436	0.0445	0.044	0.052	0.0434	0.0449	0.0445	0.0523	0.044	0.0446	0.044								
		0.045	0.0469	0.0458	0.0445	0.0518	0.0451	0.0437	0.0445	0.0532	0.0445	0.0452	0.052								
		0.0452	0.0529	0.0445	0.0456	0.0472	0.0468	0.0446	0.0424	0.0526	0.0444	0.0447	0.0445								
		0.0451	0.0447	0.044	0.044	0.0446	0.0439	0.0443	0.0441	0.054	0.0446	0.0443	0.0539								
		0.0449	0.0434	0.0432	0.0427	0.0493	0.046	0.0449	0.0433	0.0499	0.0438	0.0448	0.0441								
		0.0458	0.0455	0.0437	0.0436	0.0507	0.0447	0.045	0.0452	0.0542	0.0448	0.0457	0.046								
		0.0475	0.0468	0.0461	0.0451	0.0522	0.0443	0.041	0.0452	0.0451	0.0442	0.045	0.045								
		0.0523	0.0468	0.0469	0.0478	0.055	0.0455	0.0496	0.0451	0.0516	0.0453	0.0445	0.0432								
																					
~End																					
Plate:	A3793.Ag25-02	1.3	PlateFormat	Endpoint	Absorbance	Raw	FALSE	1						1	450	1	12	96	1	8	None
	Temperature(C)	1	2	3	4	5	6	7	8	9	10	11	12								
	0	0.0437	0.0432	0.044	0.0497	0.044	0.0434	0.0456	0.0441	0.044	0.0456	0.0451	0.0439								
		0.0445	0.0446	0.0449	0.0541	0.044	0.0448	0.0434	0.0449	0.0534	0.0445	0.0449	0.0458								
		0.0488	0.0454	0.0446	0.0514	0.0443	0.0444	0.0439	0.0439	0.0467	0.0453	0.0447	0.0481								
		0.0452	0.0451	0.0442	0.0527	0.044	0.0444	0.044	0.0492	0.048	0.0443	0.045	0.0542								
		0.0447	0.0435	0.0434	0.0518	0.0434	0.0437	0.0441	0.043	0.0462	0.0437	0.0438	0.0445								
		0.0448	0.044	0.0434	0.0467	0.0446	0.0447	0.043	0.0449	0.044	0.0457	0.0452	0.0457								
		0.0463	0.046	0.0454	0.0507	0.0448	0.0444	0.0441	0.045	0.0445	0.0444	0.047	0.046								
		0.048	0.0485	0.0467	0.0461	0.0457	0.0488	0.0461	0.0449	0.0444	0.0447	0.0437	0.0492								
																					
~End																					
Plate:	A3792.Ag-79-01	1.3	PlateFormat	Endpoint	Absorbance	Raw	FALSE	1						1	450	1	12	96	1	8	None
	Temperature(C)	1	2	3	4	5	6	7	8	9	10	11	12								
	0	0.1133	0.116	0.101	0.1139	0.1051	0.1179	0.1309	0.1234	0.1148	0.121	0.1157	0.1172								
		0.1273	0.1197	0.1164	0.1178	0.1102	0.0914	0.117	0.1223	0.1287	0.1292	0.1287	0.1244								
		0.1293	0.108	0.1143	0.1014	0.0968	0.1014	0.1115	0.112	0.1049	0.1096	0.1222	0.1133								
		0.1043	0.1086	0.1107	0.111	0.1084	0.0913	0.1067	0.1001	0.1015	0.0965	0.0996	0.099								
		0.1036	0.085	0.0801	0.089	0.0854	0.0991	0.1041	0.102	0.1047	0.1046	0.1078	0.1021								
		0.1116	0.1244	0.11	0.1038	0.1043	0.109	0.1186	0.1116	0.1334	0.1106	0.1175	0.1182								
		0.1293	0.1218	0.1283	0.1232	0.1182	0.1116	0.1261	0.1213	0.1225	0.1252	0.1273	0.128								
		0.1086	0.1063	0.118	0.1134	0.105	0.1078	0.1212	0.1113	0.1083	0.1185	0.1185	2.402								
																					
~End																					
Plate:	A3792.Ag-79-02	1.3	PlateFormat	Endpoint	Absorbance	Raw	FALSE	1						1	450	1	12	96	1	8	None
	Temperature(C)	1	2	3	4	5	6	7	8	9	10	11	12								
	0	0.0917	0.0959	0.0869	0.1029	0.0977	0.103	0.0987	0.0937	0.0944	0.0989	0.098	0.0973								
		0.0853	0.0845	0.0814	0.0848	0.0775	0.0776	0.0837	0.0883	0.0818	0.0847	0.0825	0.0802								
		0.1162	0.1067	0.1038	0.1133	0.0958	0.0926	0.0958	0.1046	0.1097	0.1047	0.1035	0.1037								
		0.1104	0.108	0.1102	0.1168	0.0912	0.1057	0.1088	0.1032	0.1149	0.113	0.1127	0.1116								
		0.107	0.1007	0.1068	0.1096	0.0871	0.105	0.102	0.1045	0.1077	0.1143	0.1099	0.1087								
		0.096	0.0928	0.0996	0.0992	0.0967	0.0924	0.0971	0.1099	0.1023	0.1023	0.1043	0.1048								
		0.0838	0.0833	0.0869	0.0901	0.0792	0.0827	0.0849	0.0927	0.0854	0.0972	0.089	0.0918								
		0.1004	0.0974	0.0993	0.1088	0.0932	0.0975	0.0971	0.0955	0.0976	0.0976	0.1029	2.1608								
																					
~End																					
Plate:	A3793.Ag79-01	1.3	PlateFormat	Endpoint	Absorbance	Raw	FALSE	1						1	450	1	12	96	1	8	None
	Temperature(C)	1	2	3	4	5	6	7	8	9	10	11	12								
	0	0.1149	0.116	0.1034	0.1083	0.1135	0.145	0.123	0.1112	0.1231	0.1124	0.1174	0.1146								
		0.1147	0.1097	0.1069	0.1054	0.1057	0.1015	0.1244	0.1197	0.124	0.115	0.1129	0.1391								
		0.1053	0.1078	0.0997	0.102	0.093	0.0983	0.1084	0.1066	0.1029	0.1037	0.1017	0.1089								
		0.127	0.1127	0.1146	0.12	0.1209	0.1116	0.1292	0.1184	0.1192	0.1203	0.1178	0.117								
		0.0803	0.0777	0.0818	0.0789	0.0772	0.0814	0.0835	0.0821	0.0807	0.0844	0.0836	0.0876								
		0.1193	0.1147	0.1198	0.1079	0.1159	0.1134	0.1234	0.1158	0.1178	0.1154	0.1265	0.1179								
		0.0887	0.0812	0.0827	0.0885	0.086	0.0847	0.0969	0.0884	0.0897	0.0887	0.0898	0.1119								
		0.0844	0.0856	0.087	0.0885	0.0807	0.0939	0.0945	0.0845	0.0819	0.0908	0.0906	1.937								
																					
~End																					
Plate:	A3793.Ag79-02	1.3	PlateFormat	Endpoint	Absorbance	Raw	FALSE	1						1	450	1	12	96	1	8	None
	Temperature(C)	1	2	3	4	5	6	7	8	9	10	11	12								
	0	0.0909	0.0919	0.0873	0.0891	0.0873	0.0976	0.1008	0.0938	0.0963	0.0886	0.0972	0.0944								
		0.0981	0.1	0.0981	0.1006	0.1062	0.0918	0.1024	0.1022	0.1017	0.1022	0.0992	0.099								
		0.1067	0.1125	0.1097	0.1192	0.099	0.1049	0.1119	0.1089	0.1179	0.1096	0.1168	0.1055								
		0.0866	0.0876	0.0813	0.0968	0.0879	0.0845	0.0875	0.089	0.0879	0.0846	0.0867	0.0938								
		0.1203	0.1189	0.1177	0.1236	0.1164	0.1215	0.101	0.1278	0.1248	0.1253	0.1262	0.1243								
		0.098	0.0887	0.092	0.0949	0.0897	0.0912	0.0917	0.1026	0.0988	0.0946	0.0976	0.0967								
		0.1213	0.1156	0.1186	0.1247	0.1182	0.112	0.1233	0.1264	0.1168	0.1207	0.1223	0.1221								
		0.1274	0.1221	0.1273	0.133	0.1163	0.1271	0.1231	0.1298	0.1193	0.1249	0.1297	2.3882								
																					
~End																					
